index,title,doi,pdf_url,source
33,How Should Pre-Trained Language Models Be Fine-Tuned Towards Adversarial Robustness?,,https://arxiv.org/pdf/2112.11668v1,arXiv:2112.11668v1
34,On Robust Prefix-Tuning for Text Classification,,https://arxiv.org/pdf/2203.10378v1,arXiv:2203.10378v1
35,Forgetful causal masking makes causal language models better zero-shot learners,10.18653/v1/2023.acl-long.128,https://aclanthology.org/2023.acl-long.128.pdf,Unpaywall
36,LFPT5: A Unified Framework for Lifelong Few-shot Language Learning Based on Prompt Tuning of T5,,https://arxiv.org/pdf/2110.07298v3,arXiv:2110.07298v3
37,Data-Efficient Finetuning Using Cross-Task Nearest Neighbors,,https://arxiv.org/pdf/2212.00196v2,arXiv:2212.00196v2
38,No Parameters Left Behind: Sensitivity Guided Adaptive Learning Rate for Training Large Transformer Models,,https://arxiv.org/pdf/2202.02664v2,arXiv:2202.02664v2
39,How (Un)Fair is Text Summarization?,10.20944/preprints202501.2321.v1,https://www.preprints.org/frontend/manuscript/3dddd28c17737a55bfb33e767c50968c/download_pub,Unpaywall
40,Teaching Algorithmic Reasoning via In-context Learning,,https://arxiv.org/pdf/2211.09066v1,arXiv:2211.09066v1
41,Towards a Unified View of Parameter-Efficient Transfer Learning,,https://arxiv.org/pdf/2110.04366v3,arXiv:2110.04366v3
42,Charformer: Fast Character Transformers via Gradient-based Subword Tokenization,,https://arxiv.org/pdf/2106.12672v3,arXiv:2106.12672v3
43,Pretrain Knowledge-Aware Language Models,10.18653/v1/2020.findings-emnlp.25,https://www.aclweb.org/anthology/2020.findings-emnlp.25.pdf,Unpaywall
44,Contextual Temperature for Language Modeling,,https://arxiv.org/pdf/2012.13575v1,arXiv:2012.13575v1
45,Large Language Models Can Self-improve,,https://arxiv.org/pdf/2210.11610v2,arXiv:2210.11610v2
46,Transcormer: Transformer for Sentence Scoring with Sliding Language Modeling,,https://arxiv.org/pdf/2205.12986v4,arXiv:2205.12986v4
47,SpanDrop: Simple and Effective Counterfactual Learning for Long Sequences,,https://arxiv.org/pdf/2208.02169v1,arXiv:2208.02169v1
48,Leveraging Automated Unit Tests for Unsupervised Code Translation,,https://arxiv.org/pdf/2110.06773v2,arXiv:2110.06773v2
49,P-Adapters: Robustly Extracting Factual Information from Language Models with Diverse Prompts,,https://arxiv.org/pdf/2110.07280v2,arXiv:2110.07280v2
50,Finetuned Language Models are Zero-Shot Learners,,https://arxiv.org/pdf/2109.01652v5,arXiv:2109.01652v5
